,Matt_Beads,Matt_Silica,Wachs,Verdicker,Matt_Sum,Matt_Ratio,Time_To_Mix,Time_To_Dispense,thickness,L,gloss_60,gloss_85,Kratzfestigkeit,Viskos_500,Viskos_1000,split
0,0.0,0.0,0.0,0.0,0.0,0.0,828.0,315.0,31.32,4.36,82.2,97.6,1.8,233.669,146.644,train
1,4.988,5.023,1.991,2.5140000000000002,10.011,0.4982519228848268,1075.0,319.0,34.8,11.82,11.6,21.7,1.1333333333333335,603.36,322.813,train
2,3.75,11.263,0.993,1.254,15.013,0.24978352094851128,2370.0,325.0,34.68,14.99,7.0,15.1,0.5666666666666667,192.777,117.522,train
3,3.762,1.2630000000000001,2.993,3.758,5.025,0.7486567164179104,1105.0,321.0,36.239999999999995,8.86,22.6,39.2,2.966666666666667,979.062,507.441,train
4,6.545999999999999,0.9420000000000001,1.494,3.136,7.4879999999999995,0.874198717948718,1039.0,319.0,32.279999999999994,9.47,21.2,36.1,2.6666666666666665,855.267,439.099,train
5,6.545,10.934,3.494,0.647,17.479,0.3744493392070485,948.0,318.0,33.760000000000005,18.68,4.5,10.8,0.4666666666666666,92.5222,65.5942,train
6,7.797,4.702999999999999,0.495,4.39,12.5,0.62376,927.0,319.0,34.08,12.98,9.2,16.5,1.5666666666666667,926.042,488.261,train
7,0.298,2.215,2.511,1.88,2.513,0.11858336649423,2296.0,340.0,40.519999999999996,6.99,31.7,53.7,2.6,545.1110000000001,290.053,train
8,1.656,2.1310000000000002,1.247,4.7010000000000005,3.787,0.43728545022445203,2318.0,344.0,33.4,7.03,28.8,47.6,2.6,1134.76,591.5020000000001,train
9,12.905,0.8540000000000001,3.244,2.197,13.759,0.9379315357220728,2520.0,469.0,34.44,15.28,8.3,14.3,0.9666666666666668,630.3430000000001,338.935,train
10,3.5370000000000004,15.216999999999999,0.258,3.4499999999999997,18.753999999999998,0.1885997653833849,792.0,320.0,36.480000000000004,17.93,3.9,8.8,0.5666666666666667,471.591,252.86000000000004,train
11,6.019,2.712,2.257,0.9430000000000001,8.731,0.6893826594891765,2437.0,318.0,34.08,10.98,16.0,29.3,1.4666666666666668,358.449,201.97700000000003,train
12,3.525,2.764,0.7789999999999999,1.57,6.289,0.5605024646207665,2681.0,320.0,36.440000000000005,8.37,24.5,43.5,1.8999999999999997,495.231,267.93600000000004,train
13,1.009,15.24,2.769,4.068,16.249,0.06209612899255339,2945.0,323.0,34.32,17.9,4.0,9.6,0.5666666666666665,589.1739999999999,310.504,train
14,9.147,2.1310000000000002,1.7530000000000001,0.319,11.278,0.8110480581663415,3514.0,543.0,33.279999999999994,13.07,13.1,24.0,1.2666666666666666,251.301,151.42,train
15,0.381,0.856,3.778,2.817,1.237,0.30800323362974935,3471.0,470.0,32.4,7.25,35.7,56.8,2.6,814.07,416.378,train
16,1.2249999999999999,0.678,1.877,2.35,1.903,0.6437204414083026,1141.0,317.0,36.08,6.35,43.9,64.4,2.733333333333333,704.638,370.119,train
17,1.889,10.032,3.871,4.849,11.921,0.1584598607499371,974.0,321.0,32.8,16.46,5.5,12.6,0.9666666666666668,936.014,480.636,train
18,15.317,1.573,0.8809999999999999,1.105,16.89,0.9068679692125517,1005.0,328.0,33.879999999999995,15.91,7.5,12.9,0.9333333333333332,415.802,229.774,train
19,2.777,4.074999999999999,2.883,3.606,6.851999999999999,0.4052831290134268,972.0,342.0,31.76,10.64,14.2,27.0,1.5666666666666664,798.606,413.497,train
20,2.644,6.728,0.41800000000000004,4.231000000000001,9.372,0.2821169440887751,704.0,532.0,32.76,10.65,11.9,23.4,0.7666666666666666,703.237,373.363,train
21,15.153,4.253,2.406,1.739,19.406,0.7808409770174174,746.0,326.0,37.0,18.78,4.4,7.7,0.9,474.472,261.26800000000003,train
22,0.46599999999999997,13.915000000000001,1.409,2.988,14.381,0.03240386621236353,678.0,320.0,33.36,15.46,5.6,12.8,0.7000000000000001,430.729,232.66,train
23,2.313,2.053,3.399,0.477,4.366,0.5297755382501146,698.0,340.0,35.4,9.39,24.2,43.2,2.3333333333333335,270.619,160.839,train
24,2.628,0.49,0.641,2.682,3.1180000000000003,0.8428479794740218,686.0,349.0,34.4,6.25,46.6,66.6,2.733333333333333,799.539,410.826,train
25,4.5009999999999994,8.633000000000001,2.642,0.17200000000000001,13.134,0.34269834018577733,682.0,353.0,35.0,14.5,8.6,19.6,0.7333333333333334,58.71040000000001,46.6332,train
26,10.763,7.39,1.664,3.9230000000000005,18.153,0.5929047540351458,709.0,433.0,37.959999999999994,18.31,4.3,8.6,0.7333333333333334,791.542,421.274,train
27,0.747,7.364,3.655,1.425,8.111,0.09209715201578103,665.0,347.0,39.32,11.79,11.6,23.4,0.8666666666666667,313.576,177.675,train
28,1.23,4.396,1.16,0.785,5.6259999999999994,0.21862779950231073,718.0,570.0,35.28,8.07,23.9,44.5,1.2666666666666666,272.79800000000006,159.20300000000003,train
29,11.233,4.41,3.1310000000000002,3.281,15.643,0.7180847663491657,772.0,379.0,36.11999999999999,17.38,5.2,9.9,0.8333333333333334,696.665,365.148,train
30,4.995,5.6530000000000005,0.13999999999999999,2.043,10.648,0.46910217881292265,687.0,420.0,38.72,11.41,13.2,24.6,1.1333333333333333,466.5690000000001,253.57299999999995,train
31,0.599,0.009000000000000001,2.155,4.531999999999999,0.608,0.9851973684210527,663.0,367.0,37.0,5.78,55.4,74.8,0.9333333333333332,1117.23,572.28,train
32,0.51,0.406,1.074,3.539,0.916,0.5567685589519651,656.0,522.0,33.919999999999995,5.31,60.2,80.3,1.0666666666666667,961.207,496.513,train
33,0.513,10.45,3.076,1.031,10.963,0.04679376083188909,701.0,347.0,34.120000000000005,13.65,8.9,18.9,0.7666666666666666,168.908,105.575,train
34,12.681,3.2230000000000003,0.083,4.789,15.904,0.7973465794768612,744.0,428.0,32.96,15.66,6.5,11.2,1.5,1217.04,635.37,train
35,1.769,4.163,2.077,2.285,5.932,0.29821308159136883,788.0,390.0,40.24,9.09,18.9,35.5,1.3666666666666665,568.7830000000001,301.645,train
36,3.559,4.87,0.5599999999999999,0.39,8.429,0.42223276782536484,713.0,545.0,34.76,10.16,18.9,35.8,1.3333333333333333,189.288,118.57,train
37,17.003999999999998,1.4220000000000002,2.589,2.899,18.426,0.92282644089873,731.0,443.0,37.67999999999999,18.05,4.7,8.0,0.9333333333333332,810.1419999999999,429.555,train
38,2.2920000000000003,11.148,1.593,1.655,13.44,0.17053571428571432,769.0,558.0,36.8,14.42,7.5,16.2,0.8000000000000002,269.97799999999995,156.04699999999997,train
39,2.311,1.1460000000000001,3.575,4.146000000000001,3.457,0.6684986982933179,736.0,343.0,39.64,8.6,25.0,42.9,1.3,1108.6,560.733,train
40,4.6160000000000005,0.073,0.33599999999999997,1.335,4.689000000000001,0.984431648539134,678.0,351.0,19.360000000000003,5.75,38.4,55.9,1.5999999999999999,521.22,283.848,train
41,7.101999999999999,7.587,2.335,3.8440000000000003,14.689,0.4834910477227857,744.0,347.0,38.839999999999996,16.43,5.3,11.2,1.0,894.4289999999999,458.725,train
42,14.468,5.231999999999999,1.331,0.098,19.7,0.7344162436548224,706.0,344.0,32.160000000000004,18.96,4.8,10.1,0.6666666666666666,124.912,85.0687,train
43,2.282,7.4190000000000005,3.3240000000000003,2.5820000000000003,9.701,0.23523348108442427,752.0,467.0,35.4,12.94,9.3,18.9,1.1333333333333335,615.0050000000001,325.296,train
44,0.7929999999999999,6.404,1.835,4.457,7.197,0.110184799221898,718.0,399.0,35.71999999999999,9.83,13.5,27.2,0.8333333333333334,1087.7800000000002,562.893,train
45,10.459,6.7299999999999995,3.835,1.949,17.189,0.6084705334807143,764.0,347.0,36.959999999999994,18.77,4.4,9.0,0.6333333333333333,441.383,242.12300000000005,train
46,4.398,7.805000000000001,0.8260000000000001,3.2169999999999996,12.203,0.36040317954601325,765.0,563.0,33.04,13.22,8.5,16.7,1.5,687.285,359.184,train
47,1.88,0.333,2.8289999999999997,0.713,2.213,0.8495255309534567,709.0,336.0,35.64,7.3,40.3,62.1,0.7999999999999999,371.803,211.075,train
48,0.224,1.34,0.953,3.995,1.564,0.1432225063938619,690.0,462.0,37.720000000000006,5.56,48.1,69.9,1.7333333333333334,1093.75,565.771,train
49,7.401,4.166,2.96,1.496,11.567,0.6398374686608455,788.0,409.0,38.12,13.73,10.0,18.7,1.0999999999999999,424.689,235.37,train
50,6.469,10.099,1.97,2.758,16.568,0.39045147271849345,752.0,319.0,38.0,17.12,4.9,10.6,0.6,511.282,274.25,train
51,5.8549999999999995,0.703,3.9589999999999996,0.252,6.558,0.8928026837450441,695.0,315.0,34.36,10.91,19.5,35.0,1.4666666666666668,609.6450000000001,322.146,train
52,6.925,2.133,1.454,2.128,9.058,0.7645175535438287,717.0,321.0,35.6,10.93,16.2,28.2,1.7000000000000002,273.421,163.94,train
53,5.079000000000001,14.023000000000001,3.457,4.624,19.102000000000004,0.2658883886504031,742.0,319.0,33.36,20.56,3.0,7.2,0.16666666666666666,770.61,400.915,train
54,7.252,6.832000000000001,0.47,0.8809999999999999,14.084,0.5149105367793241,694.0,319.0,33.760000000000005,13.92,9.4,18.3,0.9333333333333332,257.494,151.54500000000002,train
55,0.060000000000000005,4.009,2.475,3.3649999999999998,4.069,0.014745637748832639,697.0,334.0,35.2,8.13,21.8,41.0,1.5666666666666667,765.6400000000001,388.924,train
