Original_Index,Matt_Beads,Matt_Silica,Wachs,Verdicker,Time_To_Mix,Time_To_Dispense,thickness,L,Viskos_500,gloss_85,Kratzfestigkeit,Source
0,0.0,0.0,0.0,0.0,828.0,315.0,31.32,4.36,233.669,97.6,1.8,original
1,4.988,5.023,1.991,2.514,1075.0,319.0,34.8,11.82,603.36,21.7,1.1333333333333335,original
2,3.75,11.263,0.993,1.254,2370.0,325.0,34.68,14.99,192.777,15.1,0.5666666666666667,original
4,6.545999999999999,0.942,1.494,3.136,1039.0,319.0,32.279999999999994,9.47,855.267,36.1,2.6666666666666665,original
5,6.545,10.934,3.494,0.647,948.0,318.0,33.760000000000005,18.68,92.5222,10.8,0.4666666666666666,original
6,7.797,4.702999999999999,0.495,4.39,927.0,319.0,34.08,12.98,926.042,16.5,1.5666666666666669,original
7,0.298,2.215,2.511,1.88,2296.0,340.0,40.52,6.99,545.1110000000001,53.7,2.6,original
8,1.656,2.131,1.247,4.7010000000000005,2318.0,344.0,33.4,7.03,1134.76,47.6,2.6,original
9,12.905,0.8540000000000001,3.244,2.197,2520.0,469.0,34.44,15.28,630.3430000000001,14.3,0.9666666666666668,original
10,3.5370000000000004,15.217,0.258,3.45,792.0,320.0,36.48,17.93,471.591,8.8,0.5666666666666667,original
11,6.019,2.712,2.257,0.943,2437.0,318.0,34.08,10.98,358.449,29.3,1.4666666666666668,original
12,3.525,2.764,0.7789999999999999,1.57,2681.0,320.0,36.440000000000005,8.37,495.231,43.5,1.9,original
13,1.009,15.24,2.769,4.068,2945.0,323.0,34.32,17.9,589.1739999999999,9.6,0.5666666666666665,original
14,9.147,2.131,1.753,0.319,3514.0,543.0,33.279999999999994,13.07,251.301,24.0,1.2666666666666666,original
15,0.381,0.856,3.778,2.817,3471.0,470.0,32.4,7.25,814.07,56.8,2.6,original
17,1.889,10.032,3.871,4.849,974.0,321.0,32.8,16.46,936.014,12.6,0.9666666666666668,original
18,15.317,1.573,0.8809999999999999,1.105,1005.0,328.0,33.879999999999995,15.91,415.802,12.9,0.9333333333333332,original
19,2.777,4.074999999999999,2.883,3.606,972.0,342.0,31.76,10.64,798.606,27.0,1.5666666666666664,original
20,2.644,6.728,0.418,4.231000000000001,704.0,532.0,32.76,10.65,703.237,23.4,0.7666666666666666,original
21,15.153,4.253,2.406,1.739,746.0,326.0,37.0,18.78,474.472,7.7,0.9,original
22,0.4659999999999999,13.915,1.409,2.988,678.0,320.0,33.36,15.46,430.729,12.8,0.7000000000000001,original
23,2.313,2.053,3.399,0.477,698.0,340.0,35.4,9.39,270.619,43.2,2.333333333333333,original
25,4.501,8.633000000000001,2.642,0.172,682.0,353.0,35.0,14.5,58.71040000000001,19.6,0.7333333333333334,original
26,10.763,7.39,1.664,3.923000000000001,709.0,433.0,37.96,18.31,791.542,8.6,0.7333333333333334,original
27,0.747,7.364,3.655,1.425,665.0,347.0,39.32,11.79,313.576,23.4,0.8666666666666667,original
28,1.23,4.396,1.16,0.785,718.0,570.0,35.28,8.07,272.79800000000006,44.5,1.2666666666666666,original
29,11.233,4.41,3.131,3.281,772.0,379.0,36.11999999999999,17.38,696.665,9.9,0.8333333333333334,original
30,4.995,5.6530000000000005,0.1399999999999999,2.043,687.0,420.0,38.72,11.41,466.5690000000001,24.6,1.1333333333333333,original
31,0.599,0.009,2.155,4.531999999999999,663.0,367.0,37.0,5.78,1117.23,74.8,0.9333333333333332,original
32,0.51,0.406,1.074,3.539,656.0,522.0,33.919999999999995,5.31,961.207,80.3,1.0666666666666669,original
33,0.513,10.45,3.076,1.031,701.0,347.0,34.120000000000005,13.65,168.908,18.9,0.7666666666666666,original
34,12.681,3.2230000000000003,0.083,4.789,744.0,428.0,32.96,15.66,1217.04,11.2,1.5,original
35,1.769,4.163,2.077,2.285,788.0,390.0,40.24,9.09,568.7830000000001,35.5,1.3666666666666665,original
36,3.559,4.87,0.5599999999999999,0.39,713.0,545.0,34.76,10.16,189.288,35.8,1.3333333333333333,original
37,17.003999999999998,1.4220000000000002,2.589,2.899,731.0,443.0,37.67999999999999,18.05,810.1419999999999,8.0,0.9333333333333332,original
38,2.2920000000000003,11.148,1.593,1.655,769.0,558.0,36.8,14.42,269.97799999999995,16.2,0.8000000000000002,original
39,2.311,1.146,3.575,4.146000000000001,736.0,343.0,39.64,8.6,1108.6,42.9,1.3,original
40,4.6160000000000005,0.073,0.3359999999999999,1.335,678.0,351.0,19.360000000000003,5.75,521.22,55.9,1.6,original
41,7.101999999999999,7.587,2.335,3.844,744.0,347.0,38.84,16.43,894.4289999999999,11.2,1.0,original
42,14.468,5.231999999999999,1.331,0.098,706.0,344.0,32.160000000000004,18.96,124.912,10.1,0.6666666666666666,original
43,2.282,7.419,3.3240000000000003,2.5820000000000003,752.0,467.0,35.4,12.94,615.0050000000001,18.9,1.1333333333333335,original
44,0.7929999999999999,6.404,1.835,4.457,718.0,399.0,35.71999999999999,9.83,1087.7800000000002,27.2,0.8333333333333334,original
45,10.459,6.73,3.835,1.949,764.0,347.0,36.96,18.77,441.383,9.0,0.6333333333333333,original
46,4.398,7.805000000000001,0.8260000000000001,3.217,765.0,563.0,33.04,13.22,687.285,16.7,1.5,original
47,1.88,0.333,2.829,0.713,709.0,336.0,35.64,7.3,371.803,62.1,0.7999999999999999,original
48,0.224,1.34,0.953,3.995,690.0,462.0,37.720000000000006,5.56,1093.75,69.9,1.7333333333333334,original
49,7.401,4.166,2.96,1.496,788.0,409.0,38.12,13.73,424.689,18.7,1.1,original
50,6.469,10.099,1.97,2.758,752.0,319.0,38.0,17.12,511.282,10.6,0.6,original
51,5.855,0.703,3.959,0.252,695.0,315.0,34.36,10.91,609.6450000000001,35.0,1.4666666666666668,original
52,6.925,2.133,1.454,2.128,717.0,321.0,35.6,10.93,273.421,28.2,1.7000000000000002,original
53,5.079000000000001,14.023,3.457,4.624,742.0,319.0,33.36,20.56,770.61,7.2,0.1666666666666666,original
54,7.252,6.832000000000001,0.47,0.8809999999999999,694.0,319.0,33.760000000000005,13.92,257.494,18.3,0.9333333333333332,original
55,0.06,4.009,2.475,3.365,697.0,334.0,35.2,8.13,765.6400000000001,41.0,1.5666666666666669,original
56,0.934,1.886,1.6980000000000002,1.181,683.0,324.0,36.32,6.76,423.67,60.8,1.6,original
57,10.602,2.218,3.728,3.692,741.0,390.0,31.76,15.55,966.689,13.2,1.0333333333333334,original
58,1.392,16.409,0.7110000000000001,2.44,698.0,355.0,34.720000000000006,17.74,287.139,10.9,0.5333333333333333,original
59,4.518000000000001,3.305,2.726,4.933,937.0,359.0,36.56,11.29,1159.12,24.8,1.7666666666666666,original
60,3.74,1.602,0.204,3.061,752.0,387.0,36.24,7.51,866.836,50.5,1.8666666666666665,original
61,3.114,12.185,2.226,0.5630000000000001,735.0,408.0,30.72000000000001,16.21,64.15119999999999,15.1,0.7333333333333334,original
62,9.829,0.481,1.211,4.316999999999999,701.0,325.0,35.2,11.83,1087.7199999999998,25.9,1.6000000000000003,original
63,0.1299999999999999,0.187,3.213,1.811,665.0,445.0,32.68000000000001,6.01,583.7969999999999,70.6,2.1666666666666665,original
5,6.545,10.934,3.494,0.647,948.0,318.0,33.760000000000005,18.68,92.5222,10.8,0.4666666666666666,bootstrapped_low
5,6.545,10.934,3.494,0.647,948.0,318.0,33.760000000000005,18.68,92.5222,10.8,0.4666666666666666,bootstrapped_low
5,6.545,10.934,3.494,0.647,948.0,318.0,33.760000000000005,18.68,92.5222,10.8,0.4666666666666666,bootstrapped_low
